srgb_byte,float_upload,previous_8bit_quantization
168,0.391573,0.39215686274509803
169,0.396755,0.396078431372549
170,0.401978,0.403921568627451
171,0.40724,0.40784313725490196
172,0.412543,0.4117647058823529
173,0.417885,0.4196078431372549
174,0.423268,0.4235294117647059
175,0.428691,0.42745098039215684
176,0.434154,0.43529411764705883
177,0.439657,0.4392156862745098
178,0.445201,0.4470588235294118
179,0.450786,0.45098039215686275
180,0.456411,0.4549019607843137
181,0.462077,0.4627450980392157
182,0.467784,0.4666666666666667
183,0.473532,0.4745098039215686
184,0.47932,0.47843137254901963
185,0.48515,0.48627450980392156
186,0.491021,0.49019607843137253
187,0.496933,0.4980392156862745
188,0.502887,0.5019607843137255
189,0.508881,0.5098039215686274
190,0.514918,0.5137254901960784
191,0.520996,0.5215686274509804
192,0.527115,0.5254901960784314
193,0.533277,0.5333333333333333
194,0.53948,0.5411764705882353
195,0.545725,0.5450980392156862
196,0.552012,0.5529411764705883
197,0.558341,0.5568627450980392
198,0.564712,0.5647058823529412
199,0.571125,0.5725490196078431
200,0.577581,0.5764705882352941
201,0.584079,0.5843137254901961
202,0.590619,0.592156862745098
203,0.597202,0.596078431372549
204,0.603828,0.6039215686274509
205,0.610496,0.611764705882353
206,0.617207,0.615686274509804
207,0.623961,0.6235294117647059
208,0.630757,0.6313725490196078
209,0.637597,0.6392156862745098
210,0.64448,0.6431372549019608
211,0.651406,0.6509803921568628
212,0.658375,0.6588235294117647
213,0.665387,0.6666666666666666
214,0.672443,0.6705882352941176
215,0.679543,0.6784313725490196
216,0.686685,0.6862745098039216
217,0.693872,0.6941176470588235
218,0.701102,0.7019607843137254
219,0.708376,0.7098039215686275
220,0.715694,0.7176470588235294
221,0.723055,0.7215686274509804
222,0.730461,0.7294117647058823
223,0.737911,0.7372549019607844
224,0.745404,0.7450980392156863
225,0.752942,0.7529411764705882
226,0.760525,0.7607843137254902
227,0.768151,0.7686274509803922
228,0.775822,0.7764705882352941
229,0.783538,0.7843137254901961
230,0.791298,0.792156862745098
231,0.799103,0.8
232,0.806952,0.807843137254902
233,0.814847,0.8156862745098039
234,0.822786,0.8235294117647058
235,0.83077,0.8313725490196079
236,0.838799,0.8392156862745098
237,0.846873,0.8470588235294118
238,0.854993,0.8549019607843137
239,0.863157,0.8627450980392157
240,0.871367,0.8705882352941177
241,0.879623,0.8784313725490196
242,0.887923,0.8862745098039215
243,0.89627,0.8980392156862745
244,0.904661,0.9058823529411765
245,0.913099,0.9137254901960784
246,0.921582,0.9215686274509803
247,0.930111,0.9294117647058824
248,0.938686,0.9372549019607843
249,0.947307,0.9490196078431372
250,0.955974,0.9568627450980393
251,0.964687,0.9647058823529412
252,0.973445,0.9725490196078431
253,0.982251,0.9803921568627451
254,0.991102,0.9921568627450981
255,1.0,1.0
